"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Nov 20 23:41:36 GMT 2024","Wed Nov 20 23:41:36 GMT 2024","27","","org.allure.junit5_github_actions.StepTest","","org.allure.junit5_github_actions.StepTest","lambdaStepTest","lambdaStepTest()",""
"passed","Wed Nov 20 23:41:36 GMT 2024","Wed Nov 20 23:41:36 GMT 2024","12","","org.example.CalculatorTest","","org.example.CalculatorTest","subtract_returnsDifference","subtract_returnsDifference()",""
"passed","Wed Nov 20 23:41:36 GMT 2024","Wed Nov 20 23:41:36 GMT 2024","1","","org.example.CalculatorTest","","org.example.CalculatorTest","add_returnsSum","add_returnsSum()",""
"passed","Wed Nov 20 23:41:36 GMT 2024","Wed Nov 20 23:41:36 GMT 2024","19","","org.allure.junit5_github_actions.StepTest","","org.allure.junit5_github_actions.StepTest","annotatedStepTest","annotatedStepTest()",""
